trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 0.44932896411722156}",25,0,-112.24385631101354,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
2,False,"{'a': 0.8, 'e': 0.20189651799465538}",20,3,-102.40659346920656,"{0: 9, 1: 2, 2: 3, 3: 2, 4: 1}",1
3,False,"{'a': 0.8, 'e': 0.09071795328941247}",25,0,-33.69038297770733,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
4,False,"{'a': 0.8, 'e': 0.04076220397836621}",20,0,20.97294954317775,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
5,False,"{'a': 0.8, 'e': 0.01831563888873418}",20,0,-92.44714217733511,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
6,False,"{'a': 0.8, 'e': 0.008229747049020023}",25,0,16.735644318676943,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
7,False,"{'a': 0.8, 'e': 0.003697863716482929}",20,0,-20.897025214125613,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
8,False,"{'a': 0.8, 'e': 0.001661557273173934}",25,0,-57.39771907684731,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
9,False,"{'a': 0.8, 'e': 0.0007465858083766792}",20,0,-42.42614304098105,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
10,False,"{'a': 0.8, 'e': 0.00033546262790251185}",25,0,-12.962630469527154,"{0: 22, 1: 0, 2: 1, 3: 2, 4: 0}",0
11,False,"{'a': 0.8, 'e': 0.0001507330750954765}",35,0,18.123124453305564,"{0: 33, 1: 0, 2: 1, 3: 1, 4: 0}",1
12,False,"{'a': 0.8, 'e': 6.772873649085378e-05}",20,0,-34.29280299725687,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
13,False,"{'a': 0.8, 'e': 3.0432483008403625e-05}",20,0,-22.294956099466827,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
14,False,"{'a': 0.8, 'e': 1.3674196065680938e-05}",20,0,-10.846802720354388,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
15,False,"{'a': 0.8, 'e': 6.14421235332821e-06}",25,0,34.84481850698345,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.8, 'e': 2.7607725720371986e-06}",30,0,38.55874953692515,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.8, 'e': 1.2404950799567113e-06}",20,0,23.762137846263176,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.8, 'e': 5.573903692694596e-07}",20,12,13.423910845427153,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.8, 'e': 2.504516372327617e-07}",25,0,26.86808455592872,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.8, 'e': 1.1253517471925912e-07}",20,14,11.951031706591374,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,0,-48.52032946002191,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",20,0,27.288369500849434,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",25,20,11.62984035810316,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,0,24.753658287612144,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",30,0,42.107935434239025,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",30,2,20.890154896038243,"{0: 26, 1: 1, 2: 1, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,0,38.4226784787548,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,0,29.865286631924853,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",30,0,38.644467399288715,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,-20.59950700316578,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
