trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 0.5263157894736842}",25,0,-184.39927155013453,"{0: 13, 1: 4, 2: 4, 3: 1, 4: 3}",0
2,False,"{'a': 0.9, 'e': 0.1724137931034483}",30,0,-92.26085129853439,"{0: 22, 1: 1, 2: 4, 3: 2, 4: 1}",0
3,False,"{'a': 0.9, 'e': 0.08547008547008547}",20,0,-12.377336823581249,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",1
4,False,"{'a': 0.9, 'e': 0.0510204081632653}",20,0,-23.769405409576304,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
5,False,"{'a': 0.9, 'e': 0.03389830508474576}",25,6,-42.996500256222944,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 1}",1
6,False,"{'a': 0.9, 'e': 0.024154589371980676}",25,19,-1.8901492236478097,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
7,False,"{'a': 0.9, 'e': 0.018083182640144666}",25,0,40.66491972313349,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,False,"{'a': 0.9, 'e': 0.014044943820224719}",25,11,20.57200830539259,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.9, 'e': 0.011223344556677891}",20,0,-49.915601159499914,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
10,False,"{'a': 0.9, 'e': 0.009174311926605505}",20,7,12.420181854111581,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
11,False,"{'a': 0.9, 'e': 0.007639419404125286}",20,0,-59.4938773719279,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",1
12,False,"{'a': 0.9, 'e': 0.006459948320413436}",25,16,15.615377693019134,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.9, 'e': 0.005534034311012729}",25,0,-17.698162551634574,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
14,False,"{'a': 0.9, 'e': 0.004793863854266539}",30,0,-54.211481338647026,"{0: 26, 1: 1, 2: 1, 3: 0, 4: 2}",0
15,False,"{'a': 0.9, 'e': 0.0041928721174004195}",20,0,-18.893528695802818,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
16,False,"{'a': 0.9, 'e': 0.003698224852071006}",30,8,42.53499998687267,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.9, 'e': 0.003286230693394676}",20,0,23.06918542284911,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.9, 'e': 0.0029394473838918285}",30,8,14.815211778658597,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 0}",1
19,False,"{'a': 0.9, 'e': 0.0026448029621793175}",20,1,-22.105048346090253,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 1}",1
20,False,"{'a': 0.9, 'e': 0.0023923444976076554}",25,8,29.00645367560015,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.9, 'e': 0.002174385736029572}",25,0,35.73236716446762,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
22,False,"{'a': 0.9, 'e': 0.001984914648670107}",20,14,-0.11970075601971342,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
23,False,"{'a': 0.9, 'e': 0.0018191740949608877}",20,13,12.916151138113406,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.9, 'e': 0.0016733601070950468}",20,12,11.031354938681304,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.9, 'e': 0.0015444015444015444}",20,6,26.99716361289646,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
