trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.95, 'e': 0.95}",25,0,-125.0727358008494,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 0.95, 'e': 0.9025}",25,0,-89.40159682529458,"{0: 17, 1: 1, 2: 4, 3: 3, 4: 0}",0
3,False,"{'a': 0.95, 'e': 0.8573749999999999}",30,0,-77.2170959601772,"{0: 24, 1: 2, 2: 2, 3: 0, 4: 2}",0
4,False,"{'a': 0.95, 'e': 0.8145062499999999}",25,0,-66.88570231821764,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.95, 'e': 0.7737809374999998}",20,0,-60.55675880362515,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.95, 'e': 0.7350918906249998}",20,0,-99.07917498221823,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
7,False,"{'a': 0.95, 'e': 0.6983372960937497}",30,0,-173.88735365843704,"{0: 20, 1: 1, 2: 5, 3: 1, 4: 3}",0
8,False,"{'a': 0.95, 'e': 0.6634204312890623}",20,0,-107.05341951281623,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
9,False,"{'a': 0.95, 'e': 0.6302494097246091}",25,0,-164.6151027942353,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
10,False,"{'a': 0.95, 'e': 0.5987369392383787}",25,0,-149.8875576917223,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
11,False,"{'a': 0.95, 'e': 0.5688000922764597}",20,0,0.2396742724352776,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
12,False,"{'a': 0.95, 'e': 0.5403600876626367}",20,7,-51.553342057024096,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 1}",1
13,False,"{'a': 0.95, 'e': 0.5133420832795048}",20,0,-6.545722206267109,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
14,False,"{'a': 0.95, 'e': 0.48767497911552954}",20,0,1.395271485918212,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
15,False,"{'a': 0.95, 'e': 0.46329123015975304}",20,0,-53.47300431042307,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
