trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 1.0}",25,0,-237.69213847854417,"{0: 10, 1: 4, 2: 7, 3: 0, 4: 4}",0
2,False,"{'a': 0.9, 'e': 0.25}",20,0,-65.68117916696778,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.9, 'e': 0.1111111111111111}",25,0,-21.38713601398618,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
4,False,"{'a': 0.9, 'e': 0.0625}",20,0,-90.33427694974954,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.9, 'e': 0.04}",25,0,-69.36939892341893,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.9, 'e': 0.027777777777777776}",30,0,-124.82095825604532,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 4}",0
7,False,"{'a': 0.9, 'e': 0.02040816326530612}",30,0,-21.475048277572657,"{0: 26, 1: 1, 2: 1, 3: 2, 4: 0}",0
8,False,"{'a': 0.9, 'e': 0.015625}",25,12,9.623455818649575,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
9,False,"{'a': 0.9, 'e': 0.012345679012345678}",20,0,-18.30462527479971,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
10,False,"{'a': 0.9, 'e': 0.01}",20,0,-30.85223438808172,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
11,False,"{'a': 0.9, 'e': 0.008264462809917356}",20,9,17.242290241321786,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.9, 'e': 0.006944444444444444}",20,0,27.783387715664677,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.9, 'e': 0.005917159763313609}",20,0,-74.06275277190838,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
14,False,"{'a': 0.9, 'e': 0.00510204081632653}",20,0,28.294375519478404,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.9, 'e': 0.0044444444444444444}",20,0,4.736597065547748,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
16,False,"{'a': 0.9, 'e': 0.00390625}",20,0,1.3736418860513426,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
17,False,"{'a': 0.9, 'e': 0.0034602076124567475}",20,6,22.625807073398445,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.9, 'e': 0.0030864197530864196}",20,8,24.461133022616668,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.9, 'e': 0.002770083102493075}",25,8,-39.20244785103242,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 1}",1
20,False,"{'a': 0.9, 'e': 0.0025}",20,0,8.653023019430428,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
21,False,"{'a': 0.9, 'e': 0.0022675736961451248}",20,0,32.84135395102965,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
22,False,"{'a': 0.9, 'e': 0.002066115702479339}",25,0,27.556525915366223,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
23,False,"{'a': 0.9, 'e': 0.001890359168241966}",20,14,10.730270022215164,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.9, 'e': 0.001736111111111111}",30,17,27.34027766427414,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.9, 'e': 0.0016}",20,0,30.362630356088353,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
26,False,"{'a': 0.9, 'e': 0.0014792899408284023}",30,11,32.34839043010432,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.9, 'e': 0.0013717421124828531}",30,18,24.287189038538198,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.9, 'e': 0.0012755102040816326}",20,0,-55.57203653630968,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
29,False,"{'a': 0.9, 'e': 0.0011890606420927466}",25,0,-5.702027359434566,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
30,False,"{'a': 0.9, 'e': 0.0011111111111111111}",20,0,20.821741326928134,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
31,False,"{'a': 0.9, 'e': 0.001040582726326743}",20,0,28.105029795567475,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
32,False,"{'a': 0.9, 'e': 0.0009765625}",20,0,29.902184963658094,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,0,42.51158391091937,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,6,4.592339803860382,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,0,29.143413820844902,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,9,22.35561931489309,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,3,13.482642636145163,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,0,30.64485093284471,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,5,6.957715884126845,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
