trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.01, 'e': 0.9130889403123083}",35,0,-166.7260453905858,"{0: 20, 1: 4, 2: 9, 3: 0, 4: 2}",0
43,False,"{'a': 0.01, 'e': 0.9089657496748851}",30,0,-151.6967106052838,"{0: 21, 1: 1, 2: 5, 3: 0, 4: 3}",0
44,False,"{'a': 0.01, 'e': 0.9047516632199635}",20,0,-173.23422187796606,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
45,False,"{'a': 0.01, 'e': 0.9004471023526769}",20,0,-72.72777684306469,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
46,False,"{'a': 0.01, 'e': 0.8960524975255253}",20,0,-117.35189874466217,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
47,False,"{'a': 0.01, 'e': 0.8915682881953289}",25,0,-178.98684245809636,"{0: 18, 1: 0, 2: 2, 3: 1, 4: 4}",0
48,False,"{'a': 0.01, 'e': 0.8869949227792842}",20,0,-110.11021894018019,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
49,False,"{'a': 0.01, 'e': 0.8823328586101216}",20,0,-33.013716960959925,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
50,False,"{'a': 0.01, 'e': 0.8775825618903728}",20,0,-176.4618152673246,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 4}",0
51,False,"{'a': 0.01, 'e': 0.8727445076457513}",25,0,-98.93132397061217,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
52,False,"{'a': 0.01, 'e': 0.8678191796776499}",20,0,-125.27870811613406,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
53,False,"{'a': 0.01, 'e': 0.862807070514761}",20,0,-34.727531268491916,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
54,False,"{'a': 0.01, 'e': 0.8577086813638242}",25,8,-84.29247807741288,"{0: 11, 1: 0, 2: 4, 3: 1, 4: 1}",1
55,False,"{'a': 0.01, 'e': 0.8525245220595057}",20,0,-57.32748523159292,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
56,False,"{'a': 0.01, 'e': 0.8472551110134161}",20,13,-64.72822020138048,"{0: 4, 1: 0, 2: 1, 3: 1, 4: 1}",1
57,False,"{'a': 0.01, 'e': 0.8419009751622687}",20,0,-36.35969378649526,"{0: 15, 1: 3, 2: 0, 3: 2, 4: 0}",0
58,False,"{'a': 0.01, 'e': 0.8364626499151869}",20,0,-34.35125665985109,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
59,False,"{'a': 0.01, 'e': 0.8309406791001634}",30,0,-181.9986120915014,"{0: 21, 1: 1, 2: 4, 3: 0, 4: 4}",0
60,False,"{'a': 0.01, 'e': 0.8253356149096783}",25,0,-135.12389437372335,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
61,False,"{'a': 0.01, 'e': 0.8196480178454795}",25,1,-78.3292622036356,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 1}",1
62,False,"{'a': 0.01, 'e': 0.8138784566625339}",25,12,-79.26630972279864,"{0: 8, 1: 1, 2: 1, 3: 2, 4: 1}",1
63,False,"{'a': 0.01, 'e': 0.8080275083121519}",20,0,-71.23589823003616,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
64,False,"{'a': 0.01, 'e': 0.8020957578842927}",20,0,-53.162099020312176,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
65,False,"{'a': 0.01, 'e': 0.7960837985490559}",20,0,-87.28001330145437,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
66,False,"{'a': 0.01, 'e': 0.7899922314973651}",30,0,-154.60235837937378,"{0: 17, 1: 3, 2: 8, 3: 0, 4: 2}",0
67,False,"{'a': 0.01, 'e': 0.7838216658808492}",20,0,-3.713278061227867,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
68,False,"{'a': 0.01, 'e': 0.7775727187509279}",20,0,-87.09379453380059,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
69,False,"{'a': 0.01, 'e': 0.7712460149971065}",30,0,-31.094924153787183,"{0: 23, 1: 2, 2: 5, 3: 0, 4: 0}",0
70,False,"{'a': 0.01, 'e': 0.7648421872844884}",25,0,-67.7907744419184,"{0: 20, 1: 3, 2: 0, 3: 0, 4: 2}",0
71,False,"{'a': 0.01, 'e': 0.7583618759905082}",20,0,-122.33189000914227,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
72,False,"{'a': 0.01, 'e': 0.751805729140895}",35,2,-80.8297261577566,"{0: 25, 1: 5, 2: 1, 3: 0, 4: 2}",1
73,False,"{'a': 0.01, 'e': 0.7451744023448704}",20,0,-92.67221797151146,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
74,False,"{'a': 0.01, 'e': 0.7384685587295879}",20,0,-73.3391252806671,"{0: 12, 1: 4, 2: 1, 3: 3, 4: 0}",0
75,False,"{'a': 0.01, 'e': 0.7316888688738209}",25,0,-73.41811280743191,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
76,False,"{'a': 0.01, 'e': 0.7248360107409052}",20,0,-59.23007888015711,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
77,False,"{'a': 0.01, 'e': 0.7179106696109434}",30,0,-79.46862328029927,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
78,False,"{'a': 0.01, 'e': 0.7109135380122773}",20,1,-5.839388967036776,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 0}",1
79,False,"{'a': 0.01, 'e': 0.7038453156522362}",20,0,-47.45972799106097,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
80,False,"{'a': 0.01, 'e': 0.6967067093471655}",20,5,-42.43083140115958,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
81,False,"{'a': 0.01, 'e': 0.6894984329517471}",25,0,-31.710554211546377,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
82,False,"{'a': 0.01, 'e': 0.6822212072876136}",20,10,-35.801049502325384,"{0: 6, 1: 0, 2: 3, 3: 1, 4: 0}",1
83,False,"{'a': 0.01, 'e': 0.6748757600712672}",30,6,-108.07035756836716,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 2}",1
84,False,"{'a': 0.01, 'e': 0.6674628258413082}",30,0,-136.79416917470962,"{0: 22, 1: 1, 2: 4, 3: 0, 4: 3}",0
85,False,"{'a': 0.01, 'e': 0.6599831458849822}",25,0,-143.6900772263751,"{0: 16, 1: 0, 2: 6, 3: 1, 4: 2}",0
86,False,"{'a': 0.01, 'e': 0.6524374681640519}",25,0,-45.32962443566589,"{0: 17, 1: 5, 2: 2, 3: 1, 4: 0}",0
87,False,"{'a': 0.01, 'e': 0.6448265472400012}",20,0,-16.27069102101187,"{0: 16, 1: 3, 2: 0, 3: 1, 4: 0}",0
88,False,"{'a': 0.01, 'e': 0.6371511441985802}",25,0,-113.28015426810563,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
89,False,"{'a': 0.01, 'e': 0.6294120265736969}",20,3,-93.86544516806308,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 2}",1
90,False,"{'a': 0.01, 'e': 0.6216099682706645}",30,0,-86.15629781599995,"{0: 25, 1: 0, 2: 2, 3: 1, 4: 2}",0
91,False,"{'a': 0.01, 'e': 0.6137457494888116}",20,0,1.7442627515797744,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
92,False,"{'a': 0.01, 'e': 0.6058201566434629}",25,0,-29.61642452719538,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
93,False,"{'a': 0.01, 'e': 0.5978339822872982}",25,5,-66.5358825857203,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",1
94,False,"{'a': 0.01, 'e': 0.5897880250310983}",25,7,-29.024965928680732,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 0}",1
95,False,"{'a': 0.01, 'e': 0.5816830894638835}",20,0,-86.69577885358618,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
96,False,"{'a': 0.01, 'e': 0.5735199860724567}",20,0,-0.8020181314045569,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
97,False,"{'a': 0.01, 'e': 0.5652995311603544}",20,0,-6.6206404677865365,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
98,False,"{'a': 0.01, 'e': 0.5570225467662173}",25,1,-68.6124922866906,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 1}",1
99,False,"{'a': 0.01, 'e': 0.5486898605815876}",25,4,-47.19757987092393,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 1}",1
100,False,"{'a': 0.01, 'e': 0.5403023058681398}",25,0,-109.7389855875108,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
101,False,"{'a': 0.01, 'e': 0.5318607213743555}",20,9,-105.33614309212679,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 3}",1
102,False,"{'a': 0.01, 'e': 0.5233659512516496}",25,8,-72.38648659763419,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 1}",1
103,False,"{'a': 0.01, 'e': 0.5148188449699553}",20,0,-111.15096115423877,"{0: 12, 1: 4, 2: 1, 3: 1, 4: 2}",0
104,False,"{'a': 0.01, 'e': 0.5062202572327784}",20,0,-91.66737464696821,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
105,False,"{'a': 0.01, 'e': 0.497571047891727}",20,7,-25.597012113806485,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 0}",1
106,False,"{'a': 0.01, 'e': 0.48887208186052755}",20,7,9.482201860495,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
107,False,"{'a': 0.01, 'e': 0.48012422902853413}",20,2,13.533246627947632,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.01, 'e': 0.47132836417373997}",25,4,-2.9187409451545023,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 0}",1
109,False,"{'a': 0.01, 'e': 0.4624853668753008}",25,2,14.619608155421602,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
110,False,"{'a': 0.01, 'e': 0.4535961214255773}",30,1,-18.418530525775257,"{0: 24, 1: 1, 2: 3, 3: 1, 4: 0}",1
